class,image_path,width,height,format
Anthracnose,rgb\Anthracnose\lem_00028.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00029.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00030.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00031.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00032.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00033.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00034.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00035.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00036.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00037.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00038.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00039.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00040.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00041.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00042.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00043.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00044.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00045.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00046.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00047.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00048.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00049.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00050.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00051.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00052.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00053.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00054.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00055.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00056.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00057.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00058.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00059.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00060.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00061.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00062.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00063.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00064.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00065.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00066.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00067.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00068.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00069.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00070.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00071.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00072.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00073.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00074.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00075.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00076.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00077.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00078.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00079.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00080.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00081.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00082.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00083.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00084.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00085.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00086.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00087.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00088.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00089.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00090.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00091.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00092.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00093.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00094.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00095.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00096.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00097.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00098.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00099.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00100.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00101.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00102.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00103.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00104.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00105.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00106.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00107.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00108.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00109.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00110.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00111.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00112.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00113.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00114.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00115.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00116.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00117.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00118.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00119.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00120.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00121.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00122.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00123.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00124.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00125.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00126.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00127.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00128.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00129.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00130.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00131.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00132.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00133.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00134.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00135.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00136.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00137.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00138.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00139.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00140.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00141.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00142.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00143.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00144.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00145.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00146.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00147.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00148.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00149.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00150.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00151.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00152.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00153.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00154.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00155.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00156.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00157.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00158.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00159.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00160.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00161.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00162.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00163.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00164.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00165.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00166.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00167.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00168.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00169.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00170.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00171.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00172.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00173.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00174.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00175.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00176.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00177.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00178.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00179.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00180.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00181.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00182.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00183.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00184.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00185.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00186.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00187.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00188.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00189.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00190.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00191.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00192.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00193.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00194.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00195.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00196.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00197.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00198.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00199.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00200.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00201.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00202.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00203.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00204.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00205.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00206.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00207.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00208.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00209.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00210.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00211.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00212.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00213.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00214.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00215.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00216.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00217.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00218.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00219.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00220.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00221.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00222.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00223.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00224.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00225.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00226.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00227.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00228.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00229.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00230.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00231.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00232.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00233.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00234.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00235.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00236.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00237.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00238.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00239.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00240.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00241.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00242.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00243.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00244.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00245.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00246.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00247.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00248.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00249.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00250.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00251.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00252.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00253.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00254.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00255.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00256.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00257.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00258.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00259.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00260.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00261.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00262.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00263.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00264.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00265.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00266.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00267.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00268.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00269.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00270.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00271.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00272.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00273.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00274.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00275.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00276.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00277.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00278.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00279.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00280.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00281.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00282.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00283.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00284.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00285.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00286.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00287.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00288.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00289.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00290.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00291.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00292.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00293.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00294.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00295.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00296.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00297.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00298.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00299.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00300.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00301.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00302.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00303.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00304.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00305.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00306.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00307.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00308.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00309.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00310.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00311.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00312.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00313.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00314.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00315.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00316.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00317.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00318.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00319.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00320.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00321.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00322.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00323.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00324.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00325.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00326.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00327.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00328.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00329.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00330.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00331.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00332.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00333.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00334.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00335.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00336.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00337.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00338.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00339.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00340.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00341.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00342.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00343.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00344.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00345.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00346.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00347.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00348.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00349.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00350.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00351.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00352.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00353.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00354.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00355.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00356.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00357.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00358.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00359.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00360.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00361.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00362.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00363.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00364.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00365.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00366.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00367.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00368.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00369.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00370.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00371.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00372.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00373.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00374.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00375.jpg,512,512,JPEG
Anthracnose,rgb\Anthracnose\lem_00376.jpg,512,512,JPEG
